期数id,-1,0,1,2,3,4,5,6,7,赛果冷热,target
24098,6,0,8,0,0,0,0,0,0,比较冷,1
24099,8,0,4,0,0,0,0,2,0,超级冷,1
24100,4,4,2,0,0,0,0,4,0,一般,0
24101,7,0,6,0,0,0,0,1,0,一般,0
24102,1,12,0,0,0,0,0,1,0,一般,0
24103,8,0,4,0,0,2,0,0,0,一般,0
24104,0,3,0,0,0,4,0,6,0,一般,0
24105,12,0,2,0,0,0,0,0,0,一般,0
24106,1,4,0,0,0,2,0,7,0,超级冷,1
24107,9,0,1,0,0,4,0,0,0,比较冷,1
24108,0,10,0,0,0,0,0,0,4,超级冷,1
24109,0,2,0,0,0,6,0,5,0,超级冷,1
24110,12,0,0,0,0,0,0,0,2,一般,0
24111,8,0,0,0,0,4,0,2,0,比较冷,1
24112,6,0,0,0,0,3,0,5,0,一般,0
24113,8,0,0,0,0,0,0,0,6,一般,0
24114,6,0,4,0,0,0,0,0,4,一般,0
24115,4,0,0,0,0,9,0,1,0,一般,0
24116,4,0,0,0,0,0,0,0,10,超级冷,1
24117,0,0,9,0,0,5,0,0,0,比较冷,1
24118,2,0,0,0,0,9,0,3,0,比较冷,1
24119,2,0,0,0,0,10,0,2,0,超级冷,1
24120,0,0,0,0,0,4,0,10,0,比较冷,1
24121,3,0,0,1,0,0,0,0,10,比较冷,1
24122,0,0,8,0,0,4,2,0,0,超级冷,1
24123,0,4,1,0,0,3,3,3,0,一般,0
24124,1,0,9,0,0,0,4,0,0,一般,0
24125,0,0,6,0,0,0,7,1,0,超级冷,1
24126,8,0,0,0,0,0,0,0,6,一般,0
24127,0,0,7,0,0,7,0,0,0,一般,0
24128,0,6,1,0,0,3,3,1,0,一般,0
24129,0,0,12,0,0,0,2,0,0,一般,0
24130,0,0,9,0,0,0,5,0,0,比较冷,1
24131,0,1,0,0,0,1,6,0,6,超级冷,1
24132,0,0,7,0,0,5,2,0,0,比较冷,1
24133,0,4,3,0,0,3,1,3,0,一般,0
24134,0,0,12,0,0,0,2,0,0,一般,0
24135,0,0,8,0,0,0,6,0,0,比较冷,1
24136,0,0,0,8,0,0,6,0,0,超级冷,1
24137,2,0,0,0,0,0,12,0,0,比较冷,1
24138,0,0,0,0,0,0,14,0,0,一般,0
24139,2,0,0,7,0,0,5,0,0,一般,0
24140,0,6,1,0,0,3,2,2,0,一般,0
24141,0,0,12,0,0,0,2,0,0,比较冷,1
24142,0,0,8,0,0,0,6,0,0,一般,0
24143,0,0,2,6,0,0,1,0,5,一般,0
24144,0,0,0,1,0,0,2,0,11,一般,0
24145,0,4,3,0,0,3,2,2,0,比较冷,1
24146,0,0,13,0,0,0,1,0,0,一般,0
24147,0,0,8,0,0,0,6,0,0,一般,0
24148,3,8,0,0,0,0,3,0,0,一般,0
24149,2,0,8,0,0,2,2,0,0,一般,0
24150,2,0,8,0,0,1,3,0,0,一般,0
24151,0,4,2,0,0,3,3,2,0,一般,0
24152,0,0,13,0,0,0,1,0,0,比较冷,1
24153,0,0,8,0,0,0,6,0,0,一般,0
24154,0,0,12,0,0,0,2,0,0,比较冷,1
24155,0,0,9,0,0,0,5,0,0,超级冷,1
24156,2,0,0,7,0,0,5,0,0,一般,0
24157,1,0,0,0,0,0,13,0,0,一般,0
24158,0,0,0,0,0,0,14,0,0,一般,0
24159,3,0,0,6,0,0,5,0,0,一般,0
24160,0,6,1,0,0,5,2,0,0,超级冷,1
24161,0,0,12,0,0,0,2,0,0,一般,0
24162,0,0,8,0,0,0,6,0,0,一般,0
24163,0,0,0,0,0,0,0,0,14,一般,0
24164,0,0,14,0,0,0,0,0,0,一般,0
24165,0,3,4,0,0,3,2,2,0,一般,0
24166,0,0,10,0,0,0,3,0,0,一般,0
24167,0,0,9,0,0,0,5,0,0,超级冷,1
24168,7,0,7,0,0,0,0,0,0,一般,0
24169,0,6,1,0,0,3,3,1,0,超级冷,1
24170,0,0,12,0,0,0,1,0,0,一般,0
24171,0,0,7,0,0,0,7,0,0,一般,0
24172,0,0,0,0,0,6,0,0,8,比较冷,1
24173,0,0,1,0,0,5,0,0,8,超级冷,1
24174,0,0,14,0,0,0,0,0,0,超级冷,1
24175,0,6,2,0,0,3,2,1,0,超级冷,1
24176,0,0,12,0,0,0,2,0,0,比较冷,1
24177,0,0,9,0,0,0,5,0,0,超级冷,1
24178,3,0,0,6,0,0,5,0,0,一般,0
24179,2,0,0,0,0,0,12,0,0,一般,0
24180,0,0,0,0,0,0,14,0,0,一般,0
24181,2,0,0,5,0,0,7,0,0,一般,0
24182,0,6,1,0,0,4,3,0,0,一般,0
24183,0,0,11,0,0,0,3,0,0,比较冷,1
24184,0,0,8,0,0,0,6,0,0,一般,0
24185,0,0,0,0,0,5,0,0,9,一般,0
24186,0,0,0,2,0,4,0,0,7,比较冷,1
24187,0,0,14,0,0,0,0,0,0,比较冷,1
24188,0,0,3,0,0,7,2,2,0,超级冷,1
24189,0,0,11,0,0,0,3,0,0,比较冷,1
24190,0,0,9,0,0,0,4,0,0,一般,0
24191,6,0,2,5,0,0,1,0,0,一般,0
24192,3,0,8,2,0,0,1,0,0,一般,0
24193,0,3,3,0,0,3,3,2,0,一般,0
24194,0,0,12,0,0,0,2,0,0,一般,0
24195,0,0,9,0,0,0,5,0,0,一般,0
24196,0,0,0,0,0,7,0,0,7,一般,0
24197,0,0,1,0,0,4,0,0,9,一般,0
24198,0,0,14,0,0,0,0,0,0,一般,0
24199,0,4,2,0,0,5,2,1,0,超级冷,1
24200,0,0,10,0,0,0,4,0,0,超级冷,1
24201,0,0,10,0,0,0,4,0,0,超级冷,1
24202,5,1,2,0,0,0,3,3,0,一般,0
24203,1,0,0,0,0,13,0,0,0,比较冷,1
24204,1,0,2,0,0,8,1,2,0,超级冷,1
24205,0,0,11,0,0,0,3,0,0,比较冷,1
24206,0,0,10,0,0,0,4,0,0,一般,0
24207,0,0,7,0,0,7,0,0,0,超级冷,1
24208,0,0,12,0,0,0,0,2,0,一般,0
25001,1,0,1,0,0,12,0,0,0,超级冷,1
25002,0,0,9,0,0,0,2,3,0,超级冷,1
25003,0,0,6,0,0,0,4,4,0,超级冷,1
25004,0,4,3,0,0,2,3,1,0,比较冷,1
25005,0,0,10,0,0,0,4,0,0,比较冷,1
25006,0,0,7,0,0,0,5,2,0,一般,0
25007,2,0,10,0,0,2,0,0,0,超级冷,1
25008,2,0,12,0,0,0,0,0,0,一般,0
25009,0,2,2,0,0,6,3,1,0,一般,0
25010,0,0,11,0,0,0,3,0,0,一般,0
25011,0,0,10,0,0,0,4,0,0,一般,0
25012,0,0,0,0,0,0,0,0,14,一般,0
25013,0,0,14,0,0,0,0,0,0,超级冷,1
25014,0,3,2,0,0,5,2,2,0,超级冷,1
25015,0,0,12,0,0,0,2,0,0,一般,0
25016,0,3,3,0,0,4,3,1,0,一般,0
25017,0,0,9,0,0,0,5,0,0,超级冷,1
25018,0,0,8,0,0,0,5,1,0,一般,0
25019,0,0,1,1,0,4,0,0,8,一般,0
25020,0,0,8,0,0,6,0,0,0,超级冷,1
25021,0,3,3,0,0,4,2,2,0,比较冷,1
25022,0,0,12,0,0,0,2,0,0,超级冷,1
25023,0,0,9,0,0,0,5,0,0,一般,0
25024,0,0,1,3,0,1,0,0,8,超级冷,1
25025,0,0,8,0,0,6,0,0,0,超级冷,1
25026,0,4,3,0,0,4,2,1,0,一般,0
25027,0,0,12,0,0,0,2,0,0,一般,0
25028,0,0,8,0,0,0,6,0,0,一般,0
25029,5,0,9,0,0,0,0,0,0,一般,0
25030,0,3,3,0,0,5,2,1,0,一般,0
25031,0,0,10,0,0,0,4,0,0,一般,0
25032,0,0,8,0,0,0,6,0,0,一般,0
25033,0,0,0,6,0,0,0,0,8,比较冷,1
25034,0,0,7,0,0,7,0,0,0,超级冷,1
25035,0,4,2,0,0,5,1,2,0,比较冷,1
25036,0,0,12,0,0,0,1,0,0,超级冷,1
25037,0,0,8,0,0,0,6,0,0,一般,0
25038,0,0,0,6,0,0,0,0,8,一般,0
25039,0,0,7,0,0,7,0,0,0,一般,0
25040,0,4,2,0,0,5,2,1,0,比较冷,1
25041,0,0,12,0,0,0,2,0,0,比较冷,1
25042,0,0,9,0,0,0,5,0,0,一般,0
25043,0,0,0,5,0,0,9,0,0,超级冷,1
25044,2,1,0,0,9,2,0,0,0,一般,0
25045,0,0,0,0,4,0,10,0,0,一般,0
25046,5,0,0,6,3,0,0,0,0,比较冷,1
25047,0,4,1,0,0,8,0,1,0,一般,0
25048,0,0,9,0,0,0,5,0,0,一般,0
25049,0,0,6,0,0,0,8,0,0,一般,0
25050,6,0,8,0,0,0,0,0,0,超级冷,1
25051,0,2,2,0,0,6,2,2,0,超级冷,1
25052,0,0,12,0,0,0,2,0,0,超级冷,1
25053,0,0,10,0,0,0,4,0,0,超级冷,1
25054,0,0,2,0,0,6,1,3,2,超级冷,1
25055,0,0,3,0,0,7,0,2,2,一般,0
25056,0,4,2,0,0,4,2,2,0,超级冷,1
25057,0,0,12,0,0,0,2,0,0,比较冷,1
25058,0,0,10,0,0,0,4,0,0,一般,0
25059,2,0,4,0,0,4,0,0,4,超级冷,1
25060,0,0,0,0,0,8,2,4,0,一般,0
25061,0,0,11,0,0,0,3,0,0,一般,0
25062,0,0,10,0,0,0,4,0,0,一般,0
25063,0,0,4,0,0,7,1,2,0,比较冷,1
25064,1,0,2,0,0,0,9,2,0,一般,0
25065,0,3,1,1,0,4,1,3,0,一般,0
25066,1,0,11,0,0,0,2,0,0,一般,0
25067,0,0,8,0,0,0,6,0,0,一般,0
25068,2,0,3,2,0,3,0,2,2,比较冷,1
25069,0,5,3,0,0,2,2,2,0,比较冷,1
25070,0,0,10,0,0,0,4,0,0,一般,0
25071,0,0,10,0,0,0,4,0,0,一般,0
25072,8,0,2,0,0,2,0,0,2,比较冷,1
25073,0,0,2,0,0,10,1,1,0,一般,0
25074,0,0,11,0,0,0,3,0,0,比较冷,1
25075,0,0,10,0,0,0,3,1,0,超级冷,1
25076,1,0,0,0,0,4,7,2,0,比较冷,1
25077,0,0,10,0,0,0,4,0,0,比较冷,1
25078,0,0,13,0,0,1,0,0,0,比较冷,1
25079,9,0,3,0,0,2,0,0,0,一般,0
25080,2,0,2,0,0,2,6,2,0,一般,0
25081,0,0,13,0,0,0,1,0,0,超级冷,1
25082,6,5,0,0,0,1,0,2,0,一般,0
25083,0,8,0,0,0,3,0,2,1,超级冷,1
25084,1,1,0,0,0,5,0,7,0,比较冷,1
25085,3,0,0,6,3,0,2,0,0,比较冷,1
25086,2,0,0,0,10,0,2,0,0,一般,0
25087,5,0,0,6,3,0,0,0,0,一般,0
25088,4,5,0,0,0,0,0,0,5,一般,0
25089,3,0,0,0,0,0,0,0,11,一般,0
25090,2,0,0,0,0,0,0,0,12,一般,0
25091,4,0,0,0,0,0,0,2,8,一般,0
25092,2,0,0,0,0,0,0,0,12,一般,0
25093,5,5,0,0,0,1,0,1,2,比较冷,1
25094,2,0,0,0,0,2,0,4,6,超级冷,1
25095,3,0,0,0,0,3,0,4,4,一般,0
25096,5,1,0,0,0,5,0,3,0,比较冷,1
25097,0,0,4,0,0,1,0,0,9,一般,0
25098,1,9,0,0,0,2,0,2,0,一般,0
25099,2,0,0,0,0,5,0,6,1,一般,0
25100,2,0,4,0,0,0,0,1,7,比较冷,1
25101,1,7,0,0,0,3,0,3,0,一般,0
25102,6,0,0,0,0,4,0,4,0,一般,0
25103,0,0,5,0,0,0,0,0,9,超级冷,1
25104,1,0,0,0,0,7,0,6,0,一般,0
25105,0,0,5,0,0,0,0,0,9,超级冷,1
25106,5,0,0,0,0,7,0,2,0,比较冷,1
25107,3,0,0,0,0,6,0,5,0,一般,0
25108,0,0,6,0,0,0,0,0,8,一般,0
25109,0,0,0,0,0,7,0,7,0,比较冷,1
25110,1,0,0,0,0,4,0,9,0,一般,0
25111,5,0,0,0,0,1,0,0,8,一般,0
25112,0,0,7,0,0,7,0,0,0,比较冷,1
25113,1,4,1,0,0,2,3,3,0,一般,0
25114,1,0,4,0,0,0,5,4,0,一般,0
25115,0,0,3,0,0,0,8,3,0,超级冷,1
25116,6,0,0,0,0,0,1,0,7,超级冷,1
25117,0,0,8,0,0,6,0,0,0,一般,0
25118,1,4,2,0,0,4,2,1,0,一般,0
25119,0,0,11,0,0,0,3,0,0,超级冷,1
25120,0,0,9,0,0,0,5,0,0,比较冷,1
25121,5,0,1,0,0,0,1,0,7,一般,0
25122,0,0,7,0,0,7,0,0,0,一般,0
25123,0,3,3,0,0,3,3,2,0,一般,0
25124,0,0,11,0,0,0,3,0,0,一般,0
25125,0,0,11,0,0,0,3,0,0,超级冷,1
25126,3,0,0,0,11,0,0,0,0,一般,0
25127,0,0,0,0,13,0,0,1,0,一般,0
25128,4,0,0,0,10,0,0,0,0,一般,0
25129,0,5,1,0,0,3,2,3,0,一般,0
25130,0,0,12,0,0,0,2,0,0,一般,0
25131,0,0,8,0,0,0,6,0,0,一般,0
25132,0,0,2,3,0,2,1,0,6,超级冷,1
25133,1,0,0,0,0,0,0,1,12,一般,0
25134,0,5,2,0,0,3,2,2,0,一般,0
25135,0,0,12,0,0,0,2,0,0,一般,0
25136,0,0,10,0,0,0,4,0,0,比较冷,1
25137,0,0,12,0,0,0,2,0,0,一般,0
25138,0,5,1,0,0,4,2,2,0,一般,0
25139,0,0,12,0,0,0,2,0,0,超级冷,1
25140,0,0,9,0,0,0,5,0,0,一般,0
25141,0,0,11,0,0,0,3,0,0,比较冷,1
25142,0,0,0,2,12,0,0,0,0,一般,0
25143,0,1,0,2,11,0,0,0,0,一般,0
25144,0,0,0,2,12,0,0,0,0,一般,0
25145,0,5,1,0,0,6,2,0,0,超级冷,1
25146,0,0,12,0,0,0,2,0,0,一般,0
25147,0,0,8,0,0,0,6,0,0,比较冷,1
25148,0,0,0,0,0,5,0,0,9,一般,0
25149,1,0,0,1,0,3,0,0,9,一般,0
25150,0,0,14,0,0,0,0,0,0,超级冷,1
25151,0,4,3,0,0,3,2,2,0,超级冷,1
25152,0,0,11,0,0,0,3,0,0,超级冷,1
25153,0,0,11,0,0,0,3,0,0,一般,0
25154,7,5,2,0,0,0,0,0,0,超级冷,1
25155,6,0,6,0,0,0,2,0,0,一般,0
25156,0,5,1,0,0,5,1,2,0,一般,0
25157,0,0,12,0,0,0,2,0,0,一般,0
25158,0,0,8,0,0,0,6,0,0,一般,0
25159,2,1,3,3,0,3,1,1,0,比较冷,1
25160,0,0,0,2,0,3,0,0,9,一般,0
25161,0,0,0,2,0,3,0,0,9,比较冷,1
25162,0,0,14,0,0,0,0,0,0,超级冷,1
25163,0,5,2,0,0,3,2,2,0,超级冷,1
25164,0,0,11,0,0,0,3,0,0,一般,0
25165,0,0,10,0,0,0,4,0,0,一般,0
25166,0,0,0,1,13,0,0,0,0,一般,0
25167,0,0,0,1,13,0,0,0,0,一般,0
25168,0,5,1,0,0,5,2,1,0,一般,0
25169,0,0,11,0,0,0,3,0,0,一般,0
25170,0,0,7,0,0,0,7,0,0,一般,0
25171,0,0,0,2,0,3,0,0,9,比较冷,1
25172,0,0,0,1,0,4,0,0,9,一般,0
25173,0,0,14,0,0,0,0,0,0,一般,0
25174,0,0,2,0,0,8,2,2,0,比较冷,1
25175,0,0,12,0,0,0,2,0,0,一般,0
25176,0,0,10,0,0,0,4,0,0,比较冷,1
25177,5,0,4,0,0,2,2,1,0,比较冷,1
25178,6,0,7,0,0,0,1,0,0,比较冷,1
25179,0,4,1,0,0,3,3,2,0,一般,0
25180,0,0,12,0,0,0,2,0,0,一般,0
25181,0,0,6,0,0,0,8,0,0,超级冷,1
25182,0,0,0,0,0,5,0,0,9,一般,0
25183,0,0,0,1,0,4,0,0,9,超级冷,1
25184,0,0,14,0,0,0,0,0,0,一般,0
25185,0,5,2,0,0,5,2,0,0,超级冷,1
25186,0,0,10,0,0,0,4,0,0,一般,0
25187,0,0,11,0,0,0,2,0,0,超级冷,1
25188,8,1,2,0,0,0,1,2,0,一般,0
25189,1,0,0,0,0,13,0,0,0,比较冷,1
25190,0,0,12,0,0,0,2,0,0,一般,0
25191,4,0,6,0,0,0,4,0,0,一般,0
25192,1,0,1,4,0,0,1,7,0,一般,0
25193,0,0,1,0,0,10,0,3,0,超级冷,1
25194,0,0,10,0,0,0,0,4,0,比较冷,1
25195,0,0,6,0,0,0,0,8,0,一般,0
25196,0,0,6,0,0,6,0,2,0,比较冷,1
26001,0,0,4,0,0,10,0,0,0,超级冷,1
26002,0,0,6,0,0,0,6,2,0,超级冷,1
26003,0,0,7,0,0,0,7,0,0,一般,0
26004,3,0,11,0,0,0,0,0,0,比较冷,1
26005,0,0,5,0,0,0,1,2,0,一般,0
26006,0,0,9,0,0,0,3,0,0,一般,0
26007,3,0,9,0,0,0,1,1,0,一般,0
26008,4,0,6,0,0,1,1,0,0,一般,0
26009,5,0,9,0,0,0,0,0,0,一般,0
26010,0,5,2,0,0,3,3,1,0,比较冷,1
26011,0,0,12,0,0,0,2,0,0,超级冷,1
26012,0,0,7,0,0,0,7,0,0,比较冷,1
